"시도별","종류별","항목","단위","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"충청남도","논","마늘","","143","103","70","63","67","147","96","77","46","43","30","63","46","76","39","127","83.2001","137.3912","235.3903","109.9289",
"충청남도","논","파","","223","182","103","62","48","210","56","179","19","96","161","10","3","74","4","205","148.2411","105.2122","47.6929","83.8876",
"충청남도","논","대파","","","16","15","15","12","55","22","32","5","89","156","6","2","5","2","58","8.6275","7.6006","20.3411","12.878",
"충청남도","논","쪽파","","","166","88","47","36","155","34","147","14","7","5","4","1","69","2","147","139.6136","97.6116","27.3518","71.0096",
"충청남도","논","양파","","23","17","4","16","24","12","27","12","71","31","42","47","22","113","18","31","62.1294","134.0376","61.0969","70.3399",
"충청남도","논","생강","","31","33","10","15","15","95","53","47","3","12","28","15","1","30","17","88","48.3401","15.915","21.0511","4.7704",
"충청남도","논","기타채소","","122","131","125","149","175","270","151","149","156","183","186","124","210","285","157","100","125.4204","136.5091","141.4353","103.362",
"충청남도","밭","합계","","25630","22463","21239","21963","18981","16508","16929","16525","16734","16207","17380","16242","16014","14335","14025","13935","15016.566","16060.059","14625.2916","",
"충청남도","밭","과채류","","1075","867","808","724","525","355","546","470","376","318","351","343","379","342","342","380","364.5938","321.7179","332.1961","386.0902",
"충청남도","밭","수박","","607","373","339","250","122","79","75","33","59","22","33","16","33","13","24","55","47.9215","11.4603","17.1036","14.9854",
"충청남도","밭","참외","","80","59","41","35","40","18","23","26","14","4","5","25","5","12","4","13","22.8031","18.1499","14.5048","44.3582",
"충청남도","밭","딸기","","17","22","29","23","34","9","11","3","2","3","4","3","30","1","5","0",".7244",".4206","2.102","6.033",
"충청남도","밭","오이","","73","86","67","70","68","45","53","41","92","53","71","75","83","56","73","46","74.6287","104.7929","90.2328","58.7727",
"충청남도","밭","호박","","298","320","330","326","247","194","377","364","208","236","238","224","228","260","236","266","218.5161","186.8942","208.2529","261.9409",
"충청남도","밭","토마토","","0","7","2","20","14","10","7","3","1","","","","","","","","","","","",
"충청남도","밭","근채류","","3590","2850","3425","3398","2106","2383","1995","2113","2159","1885","2782","1911","1694","1627","1942","1640","1854.6809","1830.8892","1351.3682","",
"충청남도","밭","무  계","","3394","2735","3340","3255","2011","2290","1886","1968","2107","1835","2745","1865","1664","1588","1912","1628","1811.1695","1789.1488","1319.2568","",
"충청남도","밭","봄무","","1458","1275","1672","1090","642","743","457","691","868","502","566","130","195","303","174","81","175.2004","101.662","37.8628","87.5761",
"충청남도","밭","고랭지무","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0",
"충청남도","밭","가을무","","1936","1169","1226","1633","1055","978","845","843","856","814","1619","1058","928","670","1242","837","887.5375","727.4305","573.7405","583.5903",
"충청남도","밭","총각무","","","291","442","532","314","569","584","434","383","519","560","445","222","297","259","341","422.3543","403.8868","335.682","302.6493",
